Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,50,316,526,1000,0
0,1,1000,1050,316,526,2000,4
0,2,2000,2050,316,526,3000,10
0,3,3000,3050,316,526,4000,14
0,4,4000,4050,316,526,5000,20
0,5,5000,5050,316,526,6000,25
0,6,6000,6050,316,526,7000,31
0,7,7000,7050,316,526,8000,35
0,8,8000,8050,316,526,9000,41
0,9,9000,9050,316,526,10000,45
1,0,0,50,66,110,1000,1
1,1,1000,1050,66,110,2000,5
1,2,2000,2050,66,110,3000,11
1,3,3000,3050,66,110,4000,15
1,4,4000,4050,66,110,5000,21
1,5,5000,5050,66,110,6000,26
1,6,6000,6050,66,110,7000,32
1,7,7000,7050,66,110,8000,36
1,8,8000,8050,66,110,9000,42
1,9,9000,9050,66,110,10000,46
2,0,0,50,62,103,1000,2
2,1,1000,1050,62,103,2000,6
2,2,2000,2050,62,103,3000,12
2,3,3000,3050,62,103,4000,16
2,4,4000,4050,62,103,5000,22
2,5,5000,5050,62,103,6000,27
2,6,6000,6050,62,103,7000,33
2,7,7000,7050,62,103,8000,37
2,8,8000,8050,62,103,9000,43
2,9,9000,9050,62,103,10000,47
3,0,0,50,98,162,1000,3
3,1,1000,1050,98,162,2000,7
3,2,2000,2050,98,162,3000,13
3,3,3000,3050,98,162,4000,17
3,4,4000,4050,98,162,5000,23
3,5,5000,5050,98,162,6000,28
3,6,6000,6050,98,162,7000,34
3,7,7000,7050,98,162,8000,38
3,8,8000,8050,98,162,9000,44
3,9,9000,9050,98,162,10000,48
4,0,0,100,115,191,2000,8
4,1,2000,2100,115,191,4000,18
4,2,4000,4100,115,191,6000,29
4,3,6000,6100,115,191,8000,39
4,4,8000,8100,115,191,10000,49
5,0,0,100,34,56,2000,9
5,1,2000,2100,34,56,4000,19
5,2,4000,4100,34,56,6000,30
5,3,6000,6100,34,56,8000,40
5,4,8000,8100,34,56,10000,50
6,0,0,250,376,626,5000,24
6,1,5000,5250,376,626,10000,51
7,0,0,500,647,1078,10000,52
8,0,0,500,1209,2014,10000,53
9,0,0,500,848,1412,10000,54
