Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,100,1505,2508,25000,0
0,1,25000,25100,1505,2508,50000,3
0,10,250000,250100,1505,2508,275000,36
0,11,275000,275100,1505,2508,300000,38
0,2,50000,50100,1505,2508,75000,7
0,3,75000,75100,1505,2508,100000,11
0,4,100000,100100,1505,2508,125000,15
0,5,125000,125100,1505,2508,150000,17
0,6,150000,150100,1505,2508,175000,21
0,7,175000,175100,1505,2508,200000,25
0,8,200000,200100,1505,2508,225000,28
0,9,225000,225100,1505,2508,250000,33
1,0,0,100,576,959,25000,1
1,1,25000,25100,576,959,50000,4
1,10,250000,250100,576,959,275000,37
1,11,275000,275100,576,959,300000,39
1,2,50000,50100,576,959,75000,8
1,3,75000,75100,576,959,100000,12
1,4,100000,100100,576,959,125000,16
1,5,125000,125100,576,959,150000,18
1,6,150000,150100,576,959,175000,22
1,7,175000,175100,576,959,200000,26
1,8,200000,200100,576,959,225000,29
1,9,225000,225100,576,959,250000,34
2,0,0,100,4134,6890,30000,2
2,1,30000,30100,4134,6890,60000,5
2,2,60000,60100,4134,6890,90000,10
2,3,90000,90100,4134,6890,120000,13
2,4,120000,120100,4134,6890,150000,19
2,5,150000,150100,4134,6890,180000,23
2,6,180000,180100,4134,6890,210000,27
2,7,210000,210100,4134,6890,240000,31
2,8,240000,240100,4134,6890,270000,35
2,9,270000,270100,4134,6890,300000,40
3,0,0,100,8933,14888,60000,6
3,1,60000,60100,8933,14888,120000,14
3,2,120000,120100,8933,14888,180000,24
3,3,180000,180100,8933,14888,240000,32
3,4,240000,240100,8933,14888,300000,41
4,0,0,100,8259,13765,75000,9
4,1,75000,75100,8259,13765,150000,20
4,2,150000,150100,8259,13765,225000,30
4,3,225000,225100,8259,13765,300000,42
