Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,81,134,10000,10000,0
T1,100,97,161,10000,10000,0
T2,100,57,94,10000,10000,0
T3,100,68,113,10000,10000,0
T4,100,32,52,10000,10000,0
T5,100,188,312,15000,15000,0
T6,100,414,690,15000,15000,0
T7,100,236,392,15000,15000,0
T8,100,13,21,15000,15000,0
T9,100,363,605,20000,20000,0
T10,100,670,1116,25000,25000,0
T11,100,1374,2290,25000,25000,0
T12,100,177,295,25000,25000,0
T13,100,1472,2453,45000,45000,0
T14,100,88,146,50000,50000,0
T15,100,776,1292,90000,90000,0
