Name,Jitter,BCET,WCET,Period,Deadline,PE
T0,100,1190,1982,10000,10000,0
T1,100,75,124,10000,10000,0
T2,100,354,590,10000,10000,0
T3,100,104,172,10000,10000,0
T4,100,28,46,10000,10000,0
T5,100,639,1064,10000,10000,0
T6,100,215,358,10000,10000,0
T7,100,2142,3569,10000,10000,0
T8,100,989,1647,20000,20000,0
T9,100,2062,3436,25000,25000,0
T10,100,7741,12901,30000,30000,0
T11,100,358,596,35000,35000,0
T12,100,1458,2429,35000,35000,0
T13,100,1775,2958,35000,35000,0
T14,100,6686,11143,35000,35000,0
T15,100,1177,1961,35000,35000,0
T16,100,288,480,35000,35000,0
T17,100,1058,1763,40000,40000,0
T18,100,46,76,40000,40000,0
T19,100,2069,3447,50000,50000,0
T20,100,3210,5350,50000,50000,0
T21,100,3232,5386,70000,70000,0
T22,100,4305,7175,75000,75000,0
T23,100,344,572,95000,95000,0
